label,comX,comY,comZ,SA,vol,sphericity,maxFeret,minFeret,aspectRatio
58.0,6.544e-06,2.488e-06,7.56e-06,9.221350387531656e-14,1.4083200000000002e-21,0.6589065599695431,2.3461192626720346e-07,1.7643732098971899e-07,0.7604200791155044
59.0,4.256e-06,2.256e-06,8.055e-06,8.601007046029529e-14,1.4198400000000002e-21,0.7102770120615388,2.6745598628795265e-07,8.99999577086419e-08,0.4299847298761773
60.0,2.1360000000000004e-06,2.408e-06,2.79e-06,8.591718441201194e-14,1.4284799999999999e-21,0.7139265464975716,2.760786646196279e-07,1.1757202540037193e-07,0.173957486231216
61.0,8.136e-06,7.2000000000000005e-06,1.665e-06,9.709709093248823e-14,1.4457600000000002e-21,0.6368082912568176,2.719727455881815e-07,1.1453362630612553e-07,0.4962202644883526
62.0,1.664e-06,1.352e-06,4.815e-06,7.403748999144751e-14,1.4774400000000001e-21,0.8473035112272798,2.219554013611464e-07,1.3499993656296286e-07,0.6352940112549764
63.0,8.08e-07,8.944000000000001e-06,5.355e-06,1.0499250910385601e-13,1.5033599999999999e-21,0.6044603297666596,4.242621240340968e-07,1.1200000926692157e-07,0.0643805145092106
64.0,5.112e-06,1.472e-06,3.5100000000000003e-06,9.207124114790093e-14,1.5062400000000002e-21,0.6901702653597911,3.27931755010417e-07,1.3023008317790996e-07,0.2530244260204176
65.0,1.0064e-05,9e-06,8.145e-06,8.455304211413344e-14,1.5292799999999999e-21,0.759182565650003,2.4704099876699055e-07,8.99999577086419e-08,0.4453034148804141
66.0,1.832e-06,5.128e-06,1.305e-06,8.608572312791836e-14,1.5407999999999999e-21,0.7494060112648273,3.098073275292192e-07,8.99999577086419e-08,0.2074414276749423
67.0,4.144e-06,5.6e-07,2.475e-06,8.769877453891896e-14,1.5523200000000001e-21,0.7392842178000893,2.7896012796475585e-07,8.99999577086419e-08,0.2567407294118841
68.0,9.232e-06,6.656e-06,6.524999999999999e-06,7.685479123261756e-14,1.5609600000000004e-21,0.8467223564548066,2.432817659161507e-07,8.99999577086419e-08,0.4050688757936757
69.0,8.048e-06,8.536000000000001e-06,5.94e-06,9.787690236461117e-14,1.5926400000000004e-21,0.6738278977617392,2.517118794765472e-07,1.5064687047003236e-07,0.5355952727596923
70.0,1.0488e-05,2.912e-06,2.475e-06,1.0850539742630027e-13,1.6415999999999999e-21,0.6202179693976896,3.6890113802165924e-07,1.252983601265973e-07,0.1429566543942831
71.0,9.336e-06,6.224e-06,2.295e-06,1.079988732456132e-13,1.6617600000000001e-21,0.6282180840006559,3.68048628855329e-07,1.3499993656296286e-07,0.183511460102826
72.0,7.432e-06,3.608e-06,7.064999999999999e-06,8.193828419022923e-14,1.6848000000000004e-21,0.8356597697581504,2.201090679284807e-07,1.22801339906407e-07,0.4540495670132261
73.0,8.096e-06,8.584e-06,6.12e-06,9.483698893104179e-14,1.6876800000000001e-21,0.7228248980673774,2.649378639846705e-07,1.2963342587859976e-07,0.2323261906467101
74.0,5.568e-06,7.776e-06,3.015e-06,8.219412471894674e-14,1.6905599999999999e-21,0.8349562926408775,2.0642148492490828e-07,1.3499993656296286e-07,0.6027259413103633
75.0,8.544e-06,2.1120000000000003e-06,6.524999999999999e-06,9.095597494318959e-14,1.6934400000000002e-21,0.7553810756217253,2.856509829144763e-07,1.3109758323051162e-07,0.346537207548228
76.0,9.816e-06,6.28e-06,2.115e-06,9.3195679361227e-14,1.69632e-21,0.738063170232079,2.747192636185136e-07,1.350001639366383e-07,0.3389747557141679
77.0,3.5680000000000004e-06,3.328e-06,8.055e-06,8.516185096751193e-14,1.71648e-21,0.8140758362597471,2.2215903751076145e-07,1.5199998415482696e-07,0.6948161317814293
78.0,3.96e-06,7.832e-06,5.175e-06,1.1049943924592721e-13,1.76544e-21,0.6392823172870097,2.738751775853219e-07,1.598024870058579e-07,0.4815611017993634
79.0,3.2080000000000005e-06,2.5520000000000003e-06,6.84e-06,9.611689116775993e-14,1.8086400000000002e-21,0.7468828663348084,2.891390005891459e-07,1.2774305929257033e-07,0.4346803322559793
80.0,5.888e-06,8.176000000000001e-06,4.23e-06,9.863607702033643e-14,1.8115199999999998e-21,0.7285797374496755,3.261414514713861e-07,1.425821028009437e-07,0.3401986939642932
81.0,8.944000000000001e-06,6.256e-06,7.064999999999999e-06,9.794589005353385e-14,1.8374399999999998e-21,0.7406960324704238,2.693384634895946e-07,1.3499993656296286e-07,0.4695495439651736
82.0,1.0696e-05,7.552e-06,3.6000000000000003e-06,9.25116575767655e-14,1.9036800000000006e-21,0.8029409857171657,2.338374909547137e-07,1.4443073207642157e-07,0.4741555185632821
83.0,9.6e-06,5.68e-06,2.16e-06,1.1069914896808977e-13,1.9123199999999998e-21,0.6730493158199714,2.790783169212477e-07,1.502636025728177e-07,0.289025192188702
