synLabel,vesLabel,OG_Ves_X,OG_Ves_Y,OG_Ves_Z,Ves_X,Ves_Y,Ves_Z,Syn_X,Syn_Y,Syn_Z,VectorAngle,Intersect,IOU,IOS
72,1252,1.2958020306541584e-05,8.43480984258349e-06,2.1798134639539057e-06,1.3421615221886896e-05,7.744097047179821e-06,1.8124340073200074e-06,1.2950664768140996e-05,8.418985089519992e-06,9.76703347532748e-07,44.981046942434055,7,0.00012375581210331843,0.002158495220474869
73,710,9.006997061078437e-06,7.312960178751382e-06,3.367900262674084e-06,8.977073775895406e-06,7.284409093699651e-06,3.3530451446495135e-06,9.016877811518498e-06,7.309486591111636e-06,3.2307851824953104e-06,18.634684877598502,55477,0.47558916064432616,0.9922376634293788
74,968,1.0836093224497745e-05,1.265900118596619e-05,9.077459253603593e-06,1.0939177172986092e-05,1.2673204764723778e-05,9.0205471678928e-06,1.0826249308593106e-05,1.2657546903938055e-05,8.82494896359276e-06,27.979989196803338,15405,0.13481818579617555,0.7742762364294331
75,920,1.2224041256558849e-05,9.163726645056158e-06,2.664408953023667e-06,1.2462656286515994e-05,9.132180366577813e-06,2.5948054371838225e-06,1.2252492979314411e-05,9.188127933157375e-06,2.444119104438869e-06,61.09199382471579,32885,0.2581807618628898,0.9756133740766013
76,1177,1.1400204584788298e-05,1.5111225820874097e-05,5.070020961284172e-06,1.1010003618139308e-05,1.5105529200809542e-05,4.943814701618976e-06,1.1375429949112004e-05,1.511768641648814e-05,4.604200967150973e-06,50.13475905971134,11157,0.08929743400938035,1.0
77,1264,1.0425557775306515e-05,1.3708104688703315e-05,2.1034522887930507e-06,1.0409617061668541e-05,1.3320257039595162e-05,2.2824960979050957e-06,1.037490210364922e-05,1.3581717212218791e-05,1.8646827015800227e-06,59.722420005225565,1437,0.015161906369688848,0.9211538461538461
78,1110,1.1200892004126217e-05,6.922557076904923e-06,6.2068136230664095e-06,1.1329337212373503e-05,6.668290779998642e-06,6.049412604625104e-06,1.1206070212210761e-05,6.942683739907807e-06,5.784237373518408e-06,46.42772495621973,7093,0.09712446939613857,0.9554148706896551
79,766,1.5819417967577465e-05,1.330997019977076e-05,1.1053228092805512e-06,1.572867768118158e-05,1.331195562670473e-05,1.0881286698349868e-06,1.5814499420230277e-05,1.32949858198117e-05,9.392765605298337e-07,31.52220639180146,21977,0.22375052178251087,0.482576140181375
80,729,1.5466615877812728e-05,1.3435122127702925e-05,6.30318510275174e-07,1.5431465726578608e-05,1.3435258551908191e-05,6.345235590288212e-07,1.547975443827454e-05,1.3434525044431211e-05,4.652616070188742e-07,11.371709221062396,75531,0.5934799006820254,0.7678801988552606
81,1167,1.6503428923897445e-05,1.3225258044258226e-05,2.167314903545048e-06,1.6160402992682066e-05,1.2828754279325949e-05,1.946326108281937e-06,1.6532121662748978e-05,1.3273038348415866e-05,1.2897198757855222e-06,37.83344159602147,0,0.0,0.0
82,741,8.913245892472332e-06,8.57536406329018e-06,8.483196779707214e-06,8.9622972154757e-06,8.575806532462593e-06,8.493226687278366e-06,8.924738722271286e-06,8.609932592662517e-06,8.24525977805024e-06,11.278474931475989,44419,0.43433069326293144,0.8935446882983645
83,227,1.5186386917775963e-05,1.0321600711904466e-05,2.3898907102193334e-06,1.5186476048256736e-05,1.0321525223844219e-05,2.389615588072047e-06,1.5186229575192556e-05,1.0321844911231892e-05,2.294215732945304e-06,0.07062872140527877,57262,0.35923012258315457,0.43672778303181914
84,966,1.080474748960114e-05,6.828000095993048e-06,4.791207857124391e-06,1.0876170108531369e-05,6.888355073897401e-06,4.819751211471157e-06,1.0742859103629598e-05,6.840335572633194e-06,4.674585852626478e-06,23.925943957309286,24768,0.24307136688388162,0.9985083652489417
85,74,1.119831858886755e-05,9.83049676506198e-06,1.6606451822553936e-06,1.1239111699978821e-05,9.830433100432856e-06,1.6551281305510201e-06,1.1201248980796663e-05,9.83540076049394e-06,1.5135539683797106e-06,16.10501008811643,30360,0.27073542656881194,0.27580442958629336
86,980,9.278330708184512e-06,6.75225578561367e-06,1.3578625157606439e-06,9.190306627715472e-06,6.748073019480216e-06,1.3438199175652699e-06,9.283965482609347e-06,6.776575673939078e-06,1.1316471955069574e-06,22.25902038188357,18658,0.1778748069479665,1.0
87,1077,1.6032074199756607e-05,1.034755496220896e-05,1.6851971622600104e-06,1.6029846847231966e-05,1.0194767128268722e-05,1.6318940652126912e-06,1.6050443264248315e-05,1.0338164429413155e-05,1.2560867617139593e-06,22.119503984497342,13337,0.15629541086579476,0.9870485494375371
88,991,1.008311846817378e-05,1.075995260180207e-05,9.104388482228387e-06,1.0083517281600507e-05,1.0757955351436976e-05,9.107562163990224e-06,1.0069356903841253e-05,1.0760258192021865e-05,8.934131528803846e-06,0.6573716027851562,11625,0.1389171038323196,0.978452992172376
89,775,1.3366536677494878e-05,1.4840549738437403e-05,9.724873052618932e-06,1.3364170172280865e-05,1.4764028946956387e-05,9.716417480376549e-06,1.3365148788579972e-05,1.4842731616226956e-05,9.585088719177293e-06,30.05331864366386,62035,0.4179411170248602,0.8632397756842881
90,1205,1.482117750128964e-05,1.0406801266071852e-05,3.5580302437665523e-06,1.516971815362922e-05,1.0695754554035375e-05,3.5461586094243103e-06,1.4864450804452645e-05,1.040978031596751e-05,3.046114443350234e-06,43.75552674391876,7047,0.06826966858161457,0.9769859975045058
91,875,1.5662867554055993e-05,1.550292654428631e-05,3.7976659541527624e-06,1.565645470691379e-05,1.5929047549434472e-05,3.3799722132243915e-06,1.566929404361872e-05,1.550910292280605e-05,3.3629895597186987e-06,88.47327213547196,8401,0.12172892456603009,0.4375748736913381
92,539,1.5749768863315694e-05,8.087029527814593e-06,5.028002988183289e-06,1.578972933202749e-05,8.087031801551348e-06,5.020377102482598e-06,1.5753718798805494e-05,8.086884918157011e-06,4.883000428890227e-06,16.24883256234297,70124,0.6155709858932381,0.6513407826418108
93,1094,1.2233746929268818e-05,1.1575018561416073e-05,2.440090383970528e-06,1.2110473107895814e-05,1.1489503322081873e-05,2.4566977572249016e-06,1.2236725524417125e-05,1.15660295705311e-05,1.9213102859794162e-06,15.681950466755106,13341,0.1760374744342548,0.9608210298883687
94,1193,1.5457530025742017e-05,1.3422086794889765e-05,2.350403747186647e-06,1.534129387437133e-05,1.3127175861882279e-05,2.1383544606123905e-06,1.545236136735184e-05,1.3388209481490776e-05,1.8645570207809214e-06,49.93175804647573,2620,0.06324835843955195,1.0
95,969,1.3293131814862136e-05,1.2928483101859456e-05,5.293035883369157e-06,1.3397027487371815e-05,1.2923410849907668e-05,5.283455948301707e-06,1.3286666217027232e-05,1.2928057458339026e-05,4.89698322780896e-06,15.019113257326891,21932,0.2538954874858188,0.8230570045408488
96,1040,1.640046411921503e-05,1.1117308986285934e-05,3.118013751191029e-06,1.6480802514706738e-05,1.149899753727368e-05,2.980262138407852e-06,1.6383491129090544e-05,1.1120967428723816e-05,2.4070287736321916e-06,34.223259794669374,9921,0.1622642743821658,0.9554121725731896
97,922,1.3304103049449623e-05,9.271579983760603e-06,8.307983534905361e-06,1.3300326827447861e-05,9.271303497371264e-06,8.320644155901391e-06,1.3294640211825026e-05,9.289723948313622e-06,8.043969046411803e-06,0.8815664656501966,32529,0.32668494471392845,0.9990172292005773
98,1222,9.809099083213368e-06,1.1033451301045716e-05,7.67940377954801e-06,9.986929399019573e-06,1.1025284038623795e-05,7.653747843505698e-06,9.716178738017334e-06,1.1067039395129541e-05,7.024890919637983e-06,15.201004397122858,5842,0.0982261454392602,0.9610133245599605
99,1107,8.645848083688179e-06,1.3085822047287365e-05,5.99809368395654e-06,8.448408152617048e-06,1.3051108453510096e-05,5.906400701860548e-06,8.64649473442114e-06,1.3098285762680462e-05,5.568455435422948e-06,30.639448742862676,16565,0.14317818401832405,0.9970506801492717
